nome;tipo;marca;categoria;cor;modelo
Perfume Polo Big Pony Red 2 Masculino Eau de Toilette 40ml;Perfume;Ralph Lauren;CosmÈticos e Perfumaria;None;None
Pressurizador de ¡gua Bosch 45 Lts/min PB-135 - 110V;Pressurizador;Bosch;None;None;None
Jgo resid evil:the darkside chronicles  wii-capcom;Game;Wii;Games;None;None
"Suporte de Parede c/ Tilt p/LCD 26"" a 32"" Silver  - ELG";Suporte;ELG;ConstruÁ„o e Ferramentas;None;None
Esmaltec Bahamas Timer Piso 5 Bocas Branco;Fog„o;Esmaltec;EletrodomÈsticos;Branco;None
Ducha Digital Temperatura Program·vel c/ Desviador Branco/Cromado - 220V - KDT;Chuveiro;KDT;Casa e DecoraÁ„o;None;None
Estante cubo l c/ gaveta be 37-06 br brv;Estante;BRV;Casa e DecoraÁ„o;None;None
Suggar ”rion DP8 80 cm Parede AÁo Inox;Exaustor;Suggar;EletrodomÈsticos;Inox;dp8
Jogo de Cama Queen Yasmin 4 peÁas - Bernadete Casa;Jogo de LenÁol;Bernadete Casa;Casa e DecoraÁ„o;None;None
Bolsa c/ Rebites Prateados Preta - Macadamia;Bolsa;Macad‚mia;Moda e AcessÛrios;None;None
Cobreleito queen 3pcs 7510 275 sardenha vida bela;Cobre Leito;Kacyumara;Casa e DecoraÁ„o;None;None
Mattel Barbie Realista M·quina de Lavar;Barbie;Mattel;Brinquedos;None;None
Creme dental prof.gum health 70g - Colgate;Creme de Tratamento;Colgate;CosmÈticos e Perfumaria;None;None
Fronha Innovi Branco 150 Fios - Kacyumara;Fronha;Kacyumara;Casa e DecoraÁ„o;Branco;None
Microondas Fischer 6946 Inox;Microondas;Fischer;EletrodomÈsticos;Inox;None
Sanduicheira El√©trica Top SCH40E - 220V - Monarcha;Sanduicheira;Monarcha;EletrodomÈsticos;None;None
Relogio de Parede com Ponteiro e Mostrador Luminos;RelÛgio;Herweg;Moda e AcessÛrios;None;None
Prato Fundo de Aprendizagem - Nuk;Prato;Nuk;None;None;None
Perfume UDV Extreme Ulric De Varens Eau de Toilette Masculino 60 ml;Perfume;Ulric De Varens;CosmÈticos e Perfumaria;None;None
Colch„o Casal Gazin Vitoria de Mola Ensacada/Pocket c/Pillow top de visco e tecido Jacquard;Colch„o;Gazin;Casa e DecoraÁ„o;None;None
Klopf 1002 Medida Oficial 18 mm MDP;Mesa de TÍnis;Klopf;Esporte e Lazer;None;None
Philips 40PFL3606D LCD Plana 40 Polegadas;TV;Philips;EletrÙnicos;None;40pfl3606d
Jogo de Toalhas de Banho 70x140cm 2 peÁas Lollipop - Rosa - Buddemeyer;Game;Buddemeyer;Casa e DecoraÁ„o;None;None
Banheira Millenia Monstrinhos Banhos - Burigotto;Banheira;Burigotto;Casa e DecoraÁ„o;None;None
Colch„o Infl·vel c/ Camada de Veludo Casal Grande 23x152x203cm - Intex;Colch„o Infl·vel;Intex;Casa e DecoraÁ„o;None;None
Faet Optima 24 XÌcaras ElÈtrica;Cafeteira;Faet;EletrodomÈsticos;None;None
Carrinho para BebÍ Burigotto Go Twin GÍmeos Simples;Carrinho de BebÍ;Burigotto;Brinquedos;None;cwl75
Docking Station para iPod iBall - Connecta;Docking Station;Apple;EletrÙnicos;None;None
Amplificador Est√©reo Lifestyle SA-3 - Bose;Amplificador;Bose;EletrÙnicos;None;None
Samsung 3D UN46D6500 LED Plana 46 Polegadas;TV;Samsung;EletrÙnicos;None;un46d6500
Roup„o Felpudo Mix Brasil 642 Uva - Toalhas Atl‚ntica;Roup„o;Toalhas Atl‚ntica;Moda e AcessÛrios;None;None
PQI AE11-2030 2GB SD;Cart„o de MemÛria;PQI;Inform·tica;None;None
Jogo Wii Army Men Soldiers of Misfortune;Game;Wii;Games;None;None
LAVA LOUCA BRASTEMP PLE20A/SB 08SERVICOS PRATA 220V;Lava Louca;Brastemp;EletrodomÈsticos;None;None
Edredom Solteiro Innovi Cotton - 150 Fios - Kacyumara;Edredom;Kacyumara;Casa e DecoraÁ„o;None;None
Treviso Infinit Plus Cromado 3 P·s Teto;Ventilador;Treviso;EletrodomÈsticos;None;None
Pirelli Dragon 225/45 R 17 Polegadas;Pneu;Pirelli;AutomÛveis e VeÌculos;None;None
AR CONDICIONADO ELECTROLUX EM10F 10000 BTUS 220V;Ar-Condicionado;Electrolux;EletrodomÈsticos;None;None
Fechadura ElÈtrica com Abertura por chave Tetra LÌder Lotus;Fechadura;LÌder;None;None;None
Omeleteira Brit‚nia Omeleteira Duo Plus;Omeleteira;Brit‚nia;EletrodomÈsticos;None;None
Depurador de Ar de Parede 4 Bocas 60cm Branco Electrolux - DE60B;Exaustor;Electrolux;EletrodomÈsticos;None;crm33
"Moto Esmeril Bancada Ferrari ME-6"" com ProteÁ„o Visual Bivolt - 357W";Moto Esmeril;Ferrari;ConstruÁ„o e Ferramentas;None;me-6
Puff Divan em Courino - Preto - Phoenix Puff;Puff;Phoenix;Casa e DecoraÁ„o;Preto;None
Cama Box Solteiro Sofistic 88x188cm - Probel;Cama;Probel;Casa e DecoraÁ„o;None;None
Polly Pocket - Conjunto de Amizade - Mattel;Boneca;Mattel;BebÍs e Cia;None;None
Jogo de Banho com 5 PeÁas Maxy Uva - Karsten;Game;Karsten;Casa e DecoraÁ„o;None;None
Maxprint 60275-4 ”ptico;Mouse;Maxprint;Inform·tica;Vermelho;None
Relogio analogico 1673251m masc branco backer;RelÛgio;Backer;Moda e AcessÛrios;Branco;None
Abajur C√¥nico Piu Piu - Startec;Abajur;Startec;Casa e DecoraÁ„o;None;None
Adega de Vinhos Wine Cooler BZC12AE para 12 Garrafas All Black - Brastemp;Adega;Brastemp;EletrodomÈsticos;Preto;ccx21db
Painel Florence c/ Ferragens p/ FixaÁ„o de TV - Branco - Artely;TV;Artely;EletrÙnicos;None;None
Boneca Lullie Moda Fashion Loira Saia Azul - Importado;Boneca;Importado;BebÍs e Cia;None;None
Liquidificador ElÈtrico ¡guas Frescas - Hamilton Beach 25248;Liquidificador;Hamilton Beach;EletrodomÈsticos;None;None
Tapete Automotivo SÈrie C c/ 4 peÁas - Dourado - Carrhel;Tapete;Carrhel;Casa e DecoraÁ„o;None;None
Jg. inox p/servir 10pcs ciclo 64510/010- tramontina;Game;Tramontina;Casa e DecoraÁ„o;Inox;v6760
Royal Canin Mini Indoor Adult Pacote 3 Kg;RaÁ„o;Royal Canin;None;None;None
Grill Mondial Duo Premium;Sanduicheira;Mondial;EletrodomÈsticos;None;None
R·dio Port·til 3 Faixas Motobras RM-PF33;Aparelho de Som;Motobras;EletrÙnicos;None;None
Cartucho de Toner Laserjet 53A Q7553AB Preto HP;Cartucho;HP;Inform·tica;None;None
Candide Abe - linha;Game;Candide;None;None;None
Jogo de Cama Solteiro Sininho 3 peÁas  Malha - Lepper;Jogo de LenÁol;Lepper;Casa e DecoraÁ„o;None;None
Mesa de passar Sabrina Verde - Mor;T·bua de Passar;Mor;Casa e DecoraÁ„o;Verde;None
Notebook SIM Positivo 7880 c/ Intel¬Æ Core i7 2¬™ Gera√ß√£o 2620M 2.7GHz 4GB 500GB LCD 14'' DVD-RW Webcam e Sa√≠da HDMI Windows 7 Basic - Positivo;Notebook;Positivo;Inform·tica;None;None
Barney - Jogo da MemÛria - Mimo;Game;Mimo;None;None;None
